Name,API Name,Memory,vCPUs,Family,Type,Size,Ratio,Instance Storage,SSD/HDD?,GPUs,GPU model,GPU memory
M5N Large,m5n.large,8,2,n1,standard,2,4,0,,0,None,0 GiB
M5N Metal,m5n.metal,384,96,n1,standard,96,4,0,,0,None,0 GiB
M5N Extra Large,m5n.xlarge,16,4,n1,standard,4,4,0,,0,None,0 GiB
General Purpose GPU 16xlarge,p2.16xlarge,768,64,n1,custom,64,12,0,,16,NVIDIA Tesla K80,192 GiB
General Purpose GPU Eight Extra Large,p2.8xlarge,488,32,n1,custom,32,15.25,0,,8,NVIDIA Tesla K80,96 GiB
General Purpose GPU Extra Large,p2.xlarge,61,4,n1,custom,4,15.25,0,,1,NVIDIA Tesla K80,12 GiB
P3 16xlarge,p3.16xlarge,488,64,n1,highmem,64,7.625,0,,8,NVIDIA Tesla V100,128 GiB
P3 Double Extra Large,p3.2xlarge,61,8,n1,highmem,8,7.625,0,,1,NVIDIA Tesla V100,16 GiB
P3 Eight Extra Large,p3.8xlarge,244,32,n1,highmem,32,7.625,0,,4,NVIDIA Tesla V100,64 GiB
P3DN 24xlarge,p3dn.24xlarge,768,96,n1,highmem,96,8,1800,SSD,8,NVIDIA Tesla V100,256 GiB
R3 High-Memory Double Extra Large,r3.2xlarge,61,8,n1,highmem,8,7.625,160,SSD,0,None,0 GiB
R3 High-Memory Quadruple Extra Large,r3.4xlarge,122,16,n1,highmem,16,7.625,320,SSD,0,None,0 GiB
R3 High-Memory Eight Extra Large,r3.8xlarge,244,32,n1,highmem,32,7.625,640,SSD,0,None,0 GiB
R3 High-Memory Large,r3.large,15.25,2,n1,highmem,2,7.625,32,SSD,0,None,0 GiB
R3 High-Memory Extra Large,r3.xlarge,30.5,4,n1,highmem,4,7.625,80,SSD,0,None,0 GiB
R4 High-Memory 16xlarge,r4.16xlarge,488,64,n1,highmem,64,7.625,0,,0,None,0 GiB
R4 High-Memory Double Extra Large,r4.2xlarge,61,8,n1,highmem,8,7.625,0,,0,None,0 GiB
R4 High-Memory Quadruple Extra Large,r4.4xlarge,122,16,n1,highmem,16,7.625,0,,0,None,0 GiB
R4 High-Memory Eight Extra Large,r4.8xlarge,244,32,n1,highmem,32,7.625,0,,0,None,0 GiB
R4 High-Memory Large,r4.large,15.25,2,n1,highmem,2,7.625,0,,0,None,0 GiB
R4 High-Memory Extra Large,r4.xlarge,30.5,4,n1,highmem,4,7.625,0,,0,None,0 GiB
R5 12xlarge,r5.12xlarge,384,48,n1,highmem,48,8,0,,0,None,0 GiB
R5 16xlarge,r5.16xlarge,512,64,n1,highmem,64,8,0,,0,None,0 GiB
R5 24xlarge,r5.24xlarge,768,96,n1,highmem,96,8,0,,0,None,0 GiB
R5 Double Extra Large,r5.2xlarge,64,8,n1,highmem,8,8,0,,0,None,0 GiB
R5 Quadruple Extra Large,r5.4xlarge,128,16,n1,highmem,16,8,0,,0,None,0 GiB
R5 Eight Extra Large,r5.8xlarge,256,32,n1,highmem,32,8,0,,0,None,0 GiB
R5 Large,r5.large,16,2,n1,highmem,2,8,0,,0,None,0 GiB
