InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordID,BillingPeriodStartDate,BillingPeriodEndDate,InvoiceDate,PayerAccountName,LinkedAccountName,TaxationAddress,PayerPONumber,ProductCode,ProductName,SellerOfRecord,UsageType,Operation,RateId,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,BlendedRate,CurrencyCode,CostBeforeTax,Credits,TaxAmount,TaxType,TotalCost,SrNo,Marker
416099361,772228263286,,PayerLineItem,6800000233652333119,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AmazonCloudWatch,AmazonCloudWatch,"Amazon Web Services, Inc.",USW2-S3-Egress-Bytes,,1373829662,$0.25 per GB of log data delivered to S3 for the first 10TB - US West (Oregon),2020/03/01 0:00:00,2020/03/31 23:59:59,4.75261343,,USD,1.19,0,0,None,1.19,320,Stackdriver
416099361,772228263286,,PayerLineItem,6800000233652333120,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USW2-APN1-AWS-Out-Bytes,,1000768569,$0.02 per GB - US West (Oregon) data transfer to Asia Pacific (Tokyo),2020/03/01 0:00:00,2020/03/31 23:59:59,0.00265602,,USD,0,0,0,None,0,321,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333121,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USE1-EUN1-AWS-Out-Bytes,,1000767804,USD 0.02 per GB for EUN1-AWS-Out-Bytes in EU (Stockholm),2020/03/01 0:00:00,2020/03/31 23:59:59,4.00E-08,,USD,0,0,0,None,0,322,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333122,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-EBSOptimized:m5.2xlarge,Hourly,1491649059,$0.00 for 1700 Mbps per m5.2xlarge instance-hour (or partial hour),2020/03/01 0:00:00,2020/03/31 23:59:59,381.737781,,USD,0,0,0,None,0,323,Others
416099361,772228263286,,PayerLineItem,6800000233652333123,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,awskms,AWS Key Management Service,"Amazon Web Services, Inc.",us-west-2-KMS-Keys,,899350427,$1 per customer managed KMS key version in US West (Oregon),2020/03/01 0:00:00,2020/03/31 23:59:59,1.00000296,,USD,1,0,0,None,1,324,Others
416099361,772228263286,,PayerLineItem,6800000233652333124,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USE1-EUW2-AWS-In-Bytes,,1000579336,$0.00 per GB - US East (Northern Virginia) data transfer from EU (London),2020/03/01 0:00:00,2020/03/31 23:59:59,7.60E-07,,USD,0,0,0,None,0,325,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333125,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",NatGateway-Bytes,NatGateway,1491497402,$0.045 per GB Data Processed by NAT Gateways,2020/03/01 0:00:00,2020/03/31 23:59:59,0.00052418,,USD,0,0,0,None,0,326,Cloud NAT
416099361,772228263286,,PayerLineItem,6800000233652333126,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",EUC1-DataTransfer-In-Bytes,,1000579003,$0.000 per GB - data transfer in per month,2020/03/01 0:00:00,2020/03/31 23:59:59,0.00000749,,USD,0,0,0,None,0,327,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333127,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USW2-UGW1-AWS-In-Bytes,,1000766884,$0.00 per GB - US West (Oregon) data transfer from AWS GovCloud (US),2020/03/01 0:00:00,2020/03/31 23:59:59,0.00000271,,USD,0,0,0,None,0,328,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333128,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSGlue,AWS Glue,"Amazon Web Services, Inc.",USW2-Catalog-Storage,Storage,599148469,$0 for AWS Glue Data Catalog storage under the free tier,2020/03/01 0:00:00,2020/03/31 23:59:59,4886.094088,,USD,0,0,0,None,0,329,Others
