PayerAccountName,ProductCode,UsageType,RateId,ItemDescription,UsageQuantity,BlendedRate,CostBeforeTax,TotalCost,Tax,SrNo,Tag
Alphasense Inc,AmazonSES,Recipients-EC2,1667663063,Cost per recipient of SendEmail or SendRawEmail invoked from EC2,4625843,,462.58,462.58,0,516,Cloud Pub/Sub
Alphasense Inc,AmazonSNS,DeliveryAttempts-SMTP,1697106154,"$2.00 per 100,000 Amazon SNS Email/Email-JSON Notifications thereafter",6680,,0.13,0.13,0,517,Cloud Pub/Sub
Alphasense Inc,AmazonEC2,BoxUsage:t3.large,1720463441,$0.0832 per On Demand Linux t3.large Instance Hour,21376.67695,,1778.54,1778.54,0,518,Compute - BU
Alphasense Inc,AWSDataTransfer,USE1-SAE1-AWS-Out-Bytes,1698932277,$0.02 per GB - US East (Northern Virginia) data transfer to South America (Sao Paulo),0.00002277,,0,0,0,519,VM to VM Egress
Alphasense Inc,AWSDataTransfer,USE1-CloudFront-Out-Bytes,1698932298,$0.00 per GB data transfer out of US East (Northern Virginia) to CloudFront,0.00080697,,0,0,0,520,VM to VM Egress
Alphasense Inc,AmazonS3,USE2-Requests-Tier1,1686268278,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",149,,0,0,0,521,GC Storage
Alphasense Inc,AmazonEC2,SpotUsage:c5.large,1719488730,c5.large Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #12,802.371946,,26,26,0,522,Compute - SU
Alphasense Inc,AmazonEC2,EBSOptimized:r5a.4xlarge,1720451042,$0.00 for 2120 Mbps per r5a.4xlarge instance-hour (or partial hour),323.891389,,0,0,0,523,Others
Alphasense Inc,AmazonCloudFront,CA-DataTransfer-Out-Bytes,1109507348,$0.085 per GB - first 10 TB / month data transfer out (Canada),38.59816194,,3.28,3.28,0,524,Cloud CDN
Alphasense Inc,AWSDataTransfer,EU-APN2-AWS-Out-Bytes,1698930998,$0.02 per GB - EU (Ireland) data transfer to Asia Pacific (Seoul),4.00E-08,,0,0,0,525,VM to VM Egress
Alphasense Inc,AmazonS3,Requests-Tier1,1686268017,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",1014015464,,5070.08,5070.08,0,526,GC Storage
Alphasense Inc,AWSDataTransfer,APS3-UGW1-AWS-Out-Bytes,1698931674,$0.086 per GB - Asia Pacific (Mumbai) data transfer to AWS GovCloud (US),2.50E-07,,0,0,0,527,VM to VM Egress
Alphasense Inc,AmazonWorkSpaces,APS1-AW-SW-3,610334913,$0 per month per APS1 Region Performance WorkSpace (Software),0.51976295,,0,0,0,528,Others
Alphasense Inc,AmazonS3,APS3-Requests-Tier1,1686269269,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",265,,0,0,0,529,GC Storage
Alphasense Inc,AWSDataTransfer,APS2-DataTransfer-In-Bytes,1698922114,$0.000 per GB - data transfer in per month,5.00E-07,,0,0,0,530,Internet Ingress
Alphasense Inc,AmazonRDS,InstanceUsage:db.m4.large,1730457098,$0.175 per RDS db.m4.large instance hour (or partial hour) running MySQL,719,,125.83,125.83,0,531,Cloud SQL
Alphasense Inc,AmazonEC2,SpotUsage:c5.2xlarge,1719499342,c5.2xlarge Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #7,7914.890287,,1284.75,1284.75,0,532,Compute - SU
Alphasense Inc,AmazonCloudWatch,DashboardsUsageHour-Basic,1682794332,$3.00 per Dashboard per Month,47.09305886,,141.28,141.28,0,533,Cloud Monitoring
Alphasense Inc,AmazonEC2,SpotUsage:t2.small,1719483797,t2.small Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #62,3506.519999,,31.83,31.83,0,534,Compute - SU
Alphasense Inc,AmazonEC2,SpotUsage:c3.2xlarge,1719482900,c3.2xlarge Linux/UNIX Spot Instance-hour in US East (Virginia) in VPC Zone #7,17.833333,,2.14,2.14,0,535,Compute - SU
Alphasense Inc,AmazonCloudFront,SA-Requests-Tier2-HTTPS,1109507228,"$0.0220 per 10,000 HTTPS Requests",16616,,0.04,0.04,0,536,Cloud CDN
Alphasense Inc,AmazonVPC,USE1-VpcEndpoint-Hours,1658920432,$0.01 per VPC Endpoint Hour,2157,,21.57,21.57,0,537,Google VPC
Alphasense Inc,AmazonEC2,SpotUsage:m4.2xlarge,1719483304,m4.2xlarge Linux/UNIX Spot Instance-hour in US East (Virginia) in VPC Zone #12,3369.564442,,460.53,460.53,0,538,Compute - SU
Alphasense Inc,AWSDataTransfer,EU-DataTransfer-Out-Bytes,1698931098,$0.000 per GB - first 1 GB of data transferred out per month,0.06282108,,0,0,0,539,Internet Egress
Alphasense Inc,AWSDataTransfer,APS3-EU-AWS-Out-Bytes,1698931648,$0.086 per GB - Asia Pacific (Mumbai) data transfer to EU (Ireland),0.00030205,,0,0,0,540,VM to VM Egress
Alphasense Inc,AmazonEC2,SpotUsage:m4.10xlarge,1719495755,m4.10xlarge Linux/UNIX Spot Instance-hour in US East (Virginia) in VPC Zone #6,277.774722,,226.46,226.46,0,541,Compute - SU
Alphasense Inc,AmazonCloudFront,IN-Requests-Tier2-HTTPS,1109507373,"$0.0120 per 10,000 HTTPS Requests (India)",4611521,,5.53,5.53,0,542,Cloud CDN
Alphasense Inc,AmazonEC2,BoxUsage:t3.medium,1720446108,$0.0416 per On Demand Linux t3.medium Instance Hour,4578.046666,,190.45,190.45,0,543,Compute - BU
Alphasense Inc,AmazonEC2,SpotUsage:m5.2xlarge,1719482891,m5.2xlarge Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #12,260.127222,,54.35,54.35,0,544,Compute - SU
Alphasense Inc,AWSDataTransfer,EUW2-APE1-AWS-Out-Bytes,1698930786,USD0.02 per GB for  in Asia Pacific (Hong Kong),0.00000491,,0,0,0,545,VM to VM Egress
Alphasense Inc,AWSDataTransfer,USE1-APS3-AWS-Out-Bytes,1698932194,$0.02 per GB - US East (Northern Virginia) data transfer to Asia Pacific (Mumbai),0.0000984,,0,0,0,546,VM to VM Egress
Alphasense Inc,AWSDataTransfer,EU-APN1-AWS-Out-Bytes,1698931089,$0.02 per GB - EU (Ireland) data transfer to Asia Pacific (Tokyo),8.00E-08,,0,0,0,547,VM to VM Egress
Alphasense Inc,AmazonCloudFront,ZA-Requests-HTTPS-Proxy,1109507238,"$0.0120 per 10,000 Proxy HTTPS Requests (South Africa)",2451,,0,0,0,548,Cloud CDN
Alphasense Inc,AmazonEC2,SpotUsage:t2.xlarge,1719488073,t2.xlarge Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #6,106.163611,,5.97,5.97,0,549,Compute - SU
Alphasense Inc,AWSDataTransfer,APS3-EUN1-AWS-Out-Bytes,1698931562,USD 0.086 per GB for EUN1-AWS-Out-Bytes in EU (Stockholm),2.90E-07,,0,0,0,550,VM to VM Egress
Alphasense Inc,AWSDataTransfer,CAN1-DataTransfer-Out-Bytes,1698931741,$0.000 per GB - first 1 GB of data transferred out per month,0.00000719,,0,0,0,551,Internet Egress
Alphasense Inc,AmazonEC2,SpotUsage:t2.small,1719490471,t2.small Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #6,4348.2025,,30,30,0,552,Compute - SU
Alphasense Inc,AmazonCloudFront,IN-DataTransfer-Out-Bytes,1109507320,$0.170 per GB - first 10 TB / month data transfer out (India),164.6991079,,28,28,0,553,Cloud CDN
Alphasense Inc,AmazonRDS,InstanceUsage:db.r5.large,1730456871,USD 0.29 per RDS db.r5.large Single-AZ instance hour (or partial hour) running Aurora MySQL,4140.572133,,1200.77,1200.77,0,554,Cloud SQL
Alphasense Inc,AmazonRDS,Aurora:StorageIOUsage,1730456622,$0.20 per 1 million I/O requests (Aurora),16566733298,,3313.35,3313.35,0,555,Cloud SQL
Alphasense Inc,AWSDataTransfer,EU-APE1-AWS-In-Bytes,1698931021,USD0.0 per GB for  in Asia Pacific (Hong Kong),2.00E-07,,0,0,0,556,VM to VM Ingress
Alphasense Inc,AmazonCloudFront,EUC1-Lambda-Edge-Request,1109507274,$6.0E-7  per Request for Lambda-Edge-Request in EU (Frankfurt),227,,0,0,0,557,Cloud CDN
Alphasense Inc,AWSDataTransfer,EU-USW1-AWS-In-Bytes,1698931037,$0.00 per GB - EU (Ireland) data transfer from US West (Northern California),7.50E-07,,0,0,0,558,VM to VM Ingress
Alphasense Inc,AmazonEC2,SpotUsage:t2.2xlarge,1719497525,t2.2xlarge Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #1,99.723334,,11.11,11.11,0,559,Compute - SU
Alphasense Inc,AWSCloudTrail,USE1-FreeEventsRecorded,1655223527,0.0 per free event recorded in US East (N.Virginia) region,164232684,,0,0,0,560,Others
Alphasense Inc,AWSCloudTrail,SAE1-FreeEventsRecorded,1655223536,0.0 per free event recorded in South America(Sao Paulo) region,25455,,0,0,0,561,Others
Alphasense Inc,AWSDataTransfer,USW2-USE1-AWS-In-Bytes,1698921842,$0.00 per GB - US West (Oregon) data transfer from US East (Northern Virginia),3409.132901,,0,0,0,562,VM to VM Ingress
Alphasense Inc,AWSDataTransfer,EUW2-APS1-AWS-Out-Bytes,1698930873,$0.02 per GB - EU (London) data transfer to Asia Pacific (Singapore),0.00003779,,0,0,0,563,VM to VM Egress
Alphasense Inc,AmazonEC2,SpotUsage:m4.4xlarge,1719506760,m4.4xlarge Linux/UNIX Spot Instance-hour in US East (Virginia) in VPC Zone #12,604.778335,,219.19,219.19,0,564,Compute - SU
Alphasense Inc,AmazonEC2,SpotUsage:t2.large,1719486972,t2.large Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #6,66.351944,,1.96,1.96,0,565,Compute - SU
Alphasense Inc,AmazonEC2,BoxUsage:c3.2xlarge,1720445173,$0.420 per On Demand Linux c3.2xlarge Instance Hour,1438,,603.96,603.96,0,566,Compute - BU
