InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordID,BillingPeriodStartDate,BillingPeriodEndDate,InvoiceDate,PayerAccountName,LinkedAccountName,TaxationAddress,PayerPONumber,ProductCode,ProductName,SellerOfRecord,UsageType,Operation,RateId,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,BlendedRate,CurrencyCode,CostBeforeTax,Credits,TaxAmount,TaxType,TotalCost,SrNo,Tag
160554237,596134326249,,PayerLineItem,6200000001419379065,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",APN1-DataTransfer-Out-Bytes,,301278530,$0.000 per GB - first 1 GB of data transferred out per month,2018/11/01 0:00:00,2018/11/30 23:59:59,6.00E-07,,USD,0,0,0,None,0,190,Network Egress
160554237,596134326249,,PayerLineItem,6200000001419379066,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USE2-DataTransfer-Out-Bytes,,301456556,$0.000 per GB - first 1 GB of data transferred out per month,2018/11/01 0:00:00,2018/11/30 23:59:59,6.00E-07,,USD,0,0,0,None,0,191,Network Egress
160554237,596134326249,,PayerLineItem,6200000001419379067,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",EU-DataTransfer-Out-Bytes,,301456482,$0.000 per GB - first 1 GB of data transferred out per month,2018/11/01 0:00:00,2018/11/30 23:59:59,6.00E-07,,USD,0,0,0,None,0,192,Network Egress
160554237,596134326249,,PayerLineItem,6200000001419379068,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",SAE1-DataTransfer-Out-Bytes,,301279303,$0.000 per GB - first 1 GB of data transferred out per month,2018/11/01 0:00:00,2018/11/30 23:59:59,6.00E-07,,USD,0,0,0,None,0,193,Network Egress
160554237,596134326249,,PayerLineItem,6200000001419379069,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",EUW2-DataTransfer-Out-Bytes,,301279193,$0.000 per GB - first 1 GB of data transferred out per month,2018/11/01 0:00:00,2018/11/30 23:59:59,6.00E-07,,USD,0,0,0,None,0,194,Network Egress
160554237,596134326249,,PayerLineItem,6200000001419379070,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",CAN1-DataTransfer-In-Bytes,,301279588,$0.000 per GB - data transfer in per month,2018/11/01 0:00:00,2018/11/30 23:59:59,4.00E-08,,USD,0,0,0,None,0,195,Network Egress
160554237,596134326249,,PayerLineItem,6200000001419379071,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",EUW2-DataTransfer-In-Bytes,,301279173,$0.000 per GB - data transfer in per month,2018/11/01 0:00:00,2018/11/30 23:59:59,4.00E-08,,USD,0,0,0,None,0,196,Network Egress
160554237,596134326249,,PayerLineItem,6200000001419379072,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",APN2-DataTransfer-Out-Bytes,,301278419,$0.000 per GB - first 1 GB of data transferred out per month,2018/11/01 0:00:00,2018/11/30 23:59:59,6.00E-07,,USD,0,0,0,None,0,197,Network Egress
160554237,596134326249,,PayerLineItem,6200000001419379073,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",EU-DataTransfer-In-Bytes,,301278673,$0.000 per GB - data transfer in per month,2018/11/01 0:00:00,2018/11/30 23:59:59,4.00E-08,,USD,0,0,0,None,0,198,Network Egress
160554237,596134326249,,PayerLineItem,6200000001419379074,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",APS3-DataTransfer-In-Bytes,,301279312,$0.000 per GB - data transfer in per month,2018/11/01 0:00:00,2018/11/30 23:59:59,4.00E-08,,USD,0,0,0,None,0,199,Network Egress
160554237,596134326249,,PayerLineItem,6200000001419379075,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USE2-DataTransfer-In-Bytes,,301280165,$0.000 per GB - data transfer in per month,2018/11/01 0:00:00,2018/11/30 23:59:59,4.00E-08,,USD,0,0,0,None,0,200,Network Egress
160554237,596134326249,,PayerLineItem,6200000001419379076,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",CAN1-DataTransfer-Out-Bytes,,301279614,$0.000 per GB - first 1 GB of data transferred out per month,2018/11/01 0:00:00,2018/11/30 23:59:59,6.00E-07,,USD,0,0,0,None,0,201,Network Egress
