,lineItem/UsageType,lineItem/LineItemDescription,product/ProductName,lineItem/UnblendedCost,lineItem/UnblendedRate,lineItem/UsageAmount
683,USW2-USE2-AWS-In-Bytes,$0.00 per GB - US West (Oregon) data transfer from US East (Ohio),Amazon Relational Database Service,0.0,0.0,0.0006559088999999968
684,USW2-USE2-AWS-In-Bytes,$0.00 per GB - US West (Oregon) data transfer from US East (Ohio),Amazon Simple Storage Service,0.0,0.0,0.0297143982
685,USW2-USE2-AWS-Out-Bytes,$0.02 per GB - US West (Oregon) data transfer to US East (Ohio),Amazon Elastic Compute Cloud,6.232480000000004e-05,0.019998782581233904,0.003116429700000002
686,USW2-USE2-AWS-Out-Bytes,$0.02 per GB - US West (Oregon) data transfer to US East (Ohio),Amazon Relational Database Service,9.565299999999946e-06,0.01995055171504694,0.0004794504000000002
687,USW2-USE2-AWS-Out-Bytes,$0.02 per GB - US West (Oregon) data transfer to US East (Ohio),Amazon Simple Storage Service,5.8348600000000006e-05,0.02012297623441842,0.0028996009000000866
688,USW2-USW1-AWS-In-Bytes,$0.00 per GB - US West (Oregon) data transfer from US West (Northern California),AWS Lambda,0.0,0.0,5.4417e-06
689,USW2-USW1-AWS-In-Bytes,$0.00 per GB - US West (Oregon) data transfer from US West (Northern California),Amazon Elastic Compute Cloud,0.0,0.0,23.607173072000055
690,USW2-USW1-AWS-In-Bytes,$0.00 per GB - US West (Oregon) data transfer from US West (Northern California),Amazon Simple Storage Service,0.0,0.0,0.0273385236
691,USW2-USW1-AWS-Out-Bytes,$0.02 per GB - US West (Oregon) data transfer to US West (Northern California),AWS Lambda,1.57e-08,0.01994917407878018,7.87e-07
692,USW2-USW1-AWS-Out-Bytes,$0.02 per GB - US West (Oregon) data transfer to US West (Northern California),Amazon Elastic Compute Cloud,0.0023945489000000075,0.019999971836071107,0.11972761360000017
693,USW2-USW1-AWS-Out-Bytes,$0.02 per GB - US West (Oregon) data transfer to US West (Northern California),Amazon Simple Storage Service,5.8645900000000055e-05,0.020124134614582265,0.002914207300000086
694,USW2-VendedLog-Bytes,$0.50 per GB log data ingested for the first 10TB - US West (Oregon),AmazonCloudWatch,72.61306526770002,0.5000000001260103,145.22613049880007
695,USW2-WarmStorage-ByteHrs-EFS,$.05 per GB/month of warm backup storage,AWS Backup,121.30373242900002,0.05000000000002886,2426.0746485786
696,USW2-WebACL,Price per WebACL,AWS WAF,4.986559060000032,5.000000000000024,0.9973118120000017
697,USW2-WriteCapacityUnit-Hrs,$0.00 per hour for 25 units of write capacity for a month (free tier),Amazon DynamoDB,0.0,0.0,6608.0
698,USW2-WriteCapacityUnit-Hrs,$0.00065 per hour for units of write capacity beyond the free tier,Amazon DynamoDB,967.8272499999944,0.0006499999999999962,1488965.0
699,USW2-agent-assessments,First 250 agent-assessments,Amazon Inspector,74.10000000000002,0.3000000000000001,247.0
700,USW2-network-assessments,First 250 instance-assessments,Amazon Inspector,37.5,0.15,250.0
701,USW2-network-assessments,Next 750 instance-assessments,Amazon Inspector,2.21,0.13,17.0
702,ap-northeast-1-KMS-Requests,$0.00 per request - Monthly Global Free Tier for KMS requests,AWS Key Management Service,0.0,0.0,31.0
703,ap-northeast-2-KMS-Requests,$0.00 per request - Monthly Global Free Tier for KMS requests,AWS Key Management Service,0.0,0.0,31.0
704,ap-south-1-KMS-Requests,$0.00 per request - Monthly Global Free Tier for KMS requests,AWS Key Management Service,0.0,0.0,24.0
705,ap-south-1-KMS-Requests,$0.03 per 10000 KMS requests in Asia Pacific (Mumbai),AWS Key Management Service,2.1000000000000002e-05,3.0000000000000005e-06,7.0
706,ap-southeast-1-KMS-Requests,$0.03 per 10000 KMS requests in Asia Pacific (Singapore),AWS Key Management Service,9.300000000000001e-05,3.0000000000000005e-06,31.0
707,ap-southeast-2-KMS-Keys,$1 per customer managed KMS key version in Asia Pacific (Sydney),AWS Key Management Service,14.999999759999241,1.0,14.999999759999241
708,ap-southeast-2-KMS-Requests,$0.03 per 10000 KMS requests in Asia Pacific (Sydney),AWS Key Management Service,0.011510999999999917,2.9999999999999785e-06,3837.0
709,ca-central-1-KMS-Requests,$0.03 per 10000 KMS requests in Canada (Central),AWS Key Management Service,9.3e-05,3e-06,31.0
710,eu-central-1-KMS-Requests,$0.03 per 10000 KMS requests in EU (Frankfurt),AWS Key Management Service,9.300000000000001e-05,3.0000000000000005e-06,31.0
711,eu-west-1-KMS-Requests,$0.03 per 10000 KMS requests in EU (Ireland),AWS Key Management Service,9.3e-05,3e-06,31.0
712,eu-west-2-KMS-Requests,$0.03 per 10000 KMS requests in EU (London),AWS Key Management Service,0.0002790000000000001,3.0000000000000013e-06,93.0
713,eu-west-3-KMS-Requests,$0.03 per 10000 KMS requests in EU (Paris),AWS Key Management Service,0.00027900000000000006,3.0000000000000005e-06,93.0
714,sa-east-1-KMS-Requests,$0.03 per 10000 KMS requests in South America (Sao Paulo),AWS Key Management Service,9.3e-05,3e-06,31.0
715,us-east-1-KMS-Keys,$1 per customer managed KMS key version in US East (N. Virginia),AWS Key Management Service,3.9999999373000508,1.0,3.9999999373000508
716,us-east-1-KMS-Requests,$0.03 per 10000 KMS requests in US East (N. Virginia),AWS Key Management Service,0.004478999999999969,2.9999999999999793e-06,1493.0
717,us-east-2-KMS-Requests,$0.03 per 10000 KMS requests in US East (Ohio),AWS Key Management Service,9.3e-05,3e-06,31.0
718,us-west-1-KMS-Requests,$0.03 per 10000 KMS requests in US West (N. California),AWS Key Management Service,0.0008369999999999999,2.9999999999999997e-06,279.0
719,us-west-2-KMS-Keys,$1 per customer managed KMS key version in US West (Oregon),AWS Key Management Service,31.95698881149452,1.0,31.95698881149452
720,us-west-2-KMS-Requests,$0.03 per 10000 KMS requests in US West (Oregon),AWS Key Management Service,0.05072699999999908,2.9999999999999454e-06,16909.0
