"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordID","BillingPeriodStartDate","BillingPeriodEndDate","InvoiceDate","PayerAccountName","LinkedAccountName","TaxationAddress","PayerPONumber","ProductCode","ProductName","SellerOfRecord","UsageType","Operation","RateId","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","BlendedRate","CurrencyCode","CostBeforeTax","Credits","TaxAmount","TaxType","TotalCost"
"710781765","819279877714","819279877714","LinkedLineItem","6800000648026766474","2021/03/01 00:00:00","2021/03/31 23:59:59","2021/04/03 00:54:50","High Fidelity Inc.","High Fidelity Inc.","","","AmazonRDS","Amazon Relational Database Service","Amazon Web Services, Inc.","USW2-Aurora:StorageIOUsage","CreateDBInstance:0021","3014052424","$0.20 per 1 million I/O requests (Aurora PostgreSQL)","2021/03/01 00:00:00","2021/03/31 23:59:59","82459762.00000000","","USD","16.4919520000","0.0","0.000000","None","16.4919520000"
"710781765","819279877714","819279877714","LinkedLineItem","6800000648026766475","2021/03/01 00:00:00","2021/03/31 23:59:59","2021/04/03 00:54:50","High Fidelity Inc.","High Fidelity Inc.","","","AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","EUW3-USW2-AWS-In-Bytes","","2850092966","$0.00 per GB - EU (Paris) data transfer from US West (Oregon)","2021/03/01 00:00:00","2021/03/31 23:59:59","0.00024862","","USD","0E-10","0.0","0.000000","None","0E-10"
"710781765","819279877714","819279877714","LinkedLineItem","6800000648026766476","2021/03/01 00:00:00","2021/03/31 23:59:59","2021/04/03 00:54:50","High Fidelity Inc.","High Fidelity Inc.","","","AWSELB","Elastic Load Balancing","Amazon Web Services, Inc.","LCUUsage","LoadBalancing:Application","3010680773","$0.008 per used Application load balancer capacity unit-hour (or partial hour)","2021/03/01 00:00:00","2021/03/31 23:59:59","0.13128021","","USD","0.0010500000","0.0","0.000000","None","0.0010500000"
"710781765","819279877714","819279877714","LinkedLineItem","6800000648026766477","2021/03/01 00:00:00","2021/03/31 23:59:59","2021/04/03 00:54:50","High Fidelity Inc.","High Fidelity Inc.","","","AmazonSNS","Amazon Simple Notification Service","Amazon Web Services, Inc.","EUC1-Requests-Tier1","","2783723260","First 1,000,000 Amazon SNS API Requests per month are free","2021/03/01 00:00:00","2021/03/31 23:59:59","589.00000000","","USD","0E-10","0.0","0.000000","None","0E-10"
"710781765","819279877714","819279877714","LinkedLineItem","6800000648026766478","2021/03/01 00:00:00","2021/03/31 23:59:59","2021/04/03 00:54:50","High Fidelity Inc.","High Fidelity Inc.","","","AWSGlobalAccelerator","AWS Global Accelerator","Amazon Web Services, Inc.","NA-NA-OUT-Bytes-Internet","Non-dominant","1751689638","$0 per GB - DT-Premium-from-North-America-regions-out-to-North-America-Internet-clients","2021/03/01 00:00:00","2021/03/31 23:59:59","0.00007538","","USD","0E-10","0.0","0.000000","None","0E-10"
"710781765","819279877714","819279877714","LinkedLineItem","6800000648026766479","2021/03/01 00:00:00","2021/03/31 23:59:59","2021/04/03 00:54:50","High Fidelity Inc.","High Fidelity Inc.","","","AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","USW2-APE1-AWS-Out-Bytes","","2850090853","USD0.02 per GB for  in Asia Pacific (Hong Kong)","2021/03/01 00:00:00","2021/03/31 23:59:59","0.00334945","","USD","0.0000670000","0.0","0.000000","None","0.0000670000"
"710781765","819279877714","819279877714","LinkedLineItem","6800000648026766480","2021/03/01 00:00:00","2021/03/31 23:59:59","2021/04/03 00:54:50","High Fidelity Inc.","High Fidelity Inc.","","","AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","USW1-USE1-AWS-Out-Bytes","","2850090210","$0.02 per GB - US West (Northern California) data transfer to US East (Northern Virginia)","2021/03/01 00:00:00","2021/03/31 23:59:59","0.99485839","","USD","0.0198970000","0.0","0.000000","None","0.0198970000"
"710781765","819279877714","819279877714","LinkedLineItem","6800000648026766481","2021/03/01 00:00:00","2021/03/31 23:59:59","2021/04/03 00:54:50","High Fidelity Inc.","High Fidelity Inc.","","","AWSConfig","AWS Config","Amazon Web Services, Inc.","SAE1-ConfigurationItemRecorded","","2662924463","$0.003 per  Configuration Item recorded in South America (Sao Paulo) region","2021/03/01 00:00:00","2021/03/31 23:59:59","79.00000000","","USD","0.2370000000","0.0","0.000000","None","0.2370000000"
"710781765","819279877714","819279877714","LinkedLineItem","6800000648026766482","2021/03/01 00:00:00","2021/03/31 23:59:59","2021/04/03 00:54:50","High Fidelity Inc.","High Fidelity Inc.","","","AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","EUW3-EUC1-AWS-In-Bytes","","2850092962","$0.00 per GB - EU (Paris) data transfer from EU (Germany)","2021/03/01 00:00:00","2021/03/31 23:59:59","6.7E-7","","USD","0E-10","0.0","0.000000","None","0E-10"
"710781765","819279877714","819279877714","LinkedLineItem","6800000648026766483","2021/03/01 00:00:00","2021/03/31 23:59:59","2021/04/03 00:54:50","High Fidelity Inc.","High Fidelity Inc.","","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","EBS:VolumeUsage.gp3","","3087516114","$0.08 per GB-month of General Purpose (gp3) provisioned storage - US East (N. Virginia)","2021/03/01 00:00:00","2021/03/31 23:59:59","24.77356890","","USD","1.9818860000","0.0","0.000000","None","1.9818860000"
